NUM,DESIGNATION,DYN,BD,BD.E,BD.R,RNK,DIAM,D.E,D.R,MASS,M.E,M.R,G,T.T,T.B,L.T,L.B,T.D,C_TAX,C_BD,C_BD.E,C_BD.R,C_RNK
306,Unitas,MBA,6.23,6.77,109,E,54.7,1.8,3,5.33e+17,5.77e+17,108,-,S,S,-,-,-,S,6.88,7.57,110,E
308,Polyxo,MBA,3.06,1.76,58,D,134.8,21.2,16,3.92e+18,1.30e+18,33,Y,T,T,-,-,T,-,-,-,-,-
313,Chaldaea,MBA,0.95,0.40,43,C,99.6,2.4,2,4.90e+17,2.06e+17,42,-,C,-,-,-,-,-,-,-,-,-
322,Phaeo,MBA,1.27,0.64,50,D,71.5,1.9,3,2.42e+17,1.20e+17,50,-,X,X,-,-,D,D,9.56,1.73,18,X
324,Bamberga,MBA,1.59,0.19,12,A,232.3,6.0,3,1.04e+19,9.27e+17,9,Y,CP,-,C,Cb,-,Cb,1.52,0.2,13,A
326,Tamara,MBA,0.95,0.54,56,D,84.9,8.9,10,3.05e+17,1.43e+17,47,-,C,-,-,-,-,-,-,-,-,-
328,Gudrun,MBA,3.32,1.60,48,C,122.8,3.5,3,3.22e+18,1.53e+18,48,-,S,-,-,-,-,S,3.27,0.55,17,B
329,Svea,MBA,1.22,0.63,52,D,78.6,3.8,5,3.10e+17,1.54e+17,50,-,C,-,C,C,-,-,-,-,-,-
334,Chicago,MBA,3.18,2.76,87,D,168.1,8.2,5,7.92e+18,6.76e+18,85,-,C,-,-,-,-,C,2.06,2.31,112,E
335,Roberta,MBA,1.05,0.53,50,D,96.7,6.5,7,4.97e+17,2.29e+17,46,-,FP,B,-,-,-,-,-,-,-,-
336,Lacadiera,MBA,2.01,0.95,47,C,74.4,2.7,4,4.32e+17,1.99e+17,46,-,D,Xk,-,-,-,-,-,-,-,-
337,Devosa,MBA,3.85,0.78,20,C,63.5,3.2,5,5.15e+17,7.12e+16,14,-,X,X,-,-,Xk,Xk,7.91,1.65,21,X
338,Budrosa,MBA,0.86,0.45,52,D,69.2,3.7,5,1.48e+17,7.42e+16,50,-,M,Xk,-,-,-,-,-,-,-,-
344,Desiderata,MBA,1.37,0.54,39,C,130.6,5.2,4,1.60e+18,5.95e+17,37,-,C,-,-,-,-,C,1.22,0.43,35,C
345,Tercidina,MBA,2.17,1.63,75,D,98.7,3.3,3,1.09e+18,8.11e+17,74,-,C,Ch,-,-,Ch,Ch,5.3,2.37,45,C
346,Hermentaria,MBA,2.31,1.14,49,C,92.1,0.9,1,9.44e+17,4.64e+17,49,-,S,S,-,-,S,S,14.89,1.52,10,X
347,Pariana,MBA,2.38,1.27,54,D,54.8,3.8,7,2.05e+17,1.01e+17,49,-,M,-,-,-,-,-,-,-,-,-
349,Dembowska,MBA,1.82,0.93,51,D,143.8,16.3,11,2.83e+18,1.09e+18,38,-,R,R,-,-,R,R,2.23,1.01,45,C
350,Ornamenta,MBA,1.62,0.83,51,D,126.3,6.1,5,1.71e+18,8.43e+17,49,-,C,-,Caa,Ch,-,-,-,-,-,-
354,Eleonora,MBA,3.93,1.84,47,C,159.3,4.8,3,8.31e+18,3.82e+18,46,-,S,Sl,A,S,A,A,3.73,1.39,37,C
356,Liguria,MBA,1.32,0.81,61,D,134.2,2.6,2,1.67e+18,1.02e+18,61,-,C,-,Caa,Ch,-,Ch,6.1,1.36,22,X
357,Ninina,MBA,1.83,0.97,53,D,97.4,6.1,6,8.85e+17,4.41e+17,50,-,CX,-,Caa,B,-,-,-,-,-,-
358,Apollonia,MBA,1.26,0.64,51,D,85.8,2.6,3,4.15e+17,2.07e+17,50,-,-,Ch,-,-,-,-,-,-,-,-
360,Carlova,MBA,6.62,4.51,68,D,116.9,23.4,20,5.54e+18,1.78e+18,32,-,C,C,-,-,-,-,-,-,-,-
362,Havnia,MBA,1.58,0.79,50,C,85.3,1.1,1,5.13e+17,2.55e+17,50,-,XC,-,Caa,Ch,-,-,-,-,-,-
363,Padua,MBA,4.10,2.25,55,D,86.6,8.2,9,1.40e+18,6.59e+17,47,-,XC,X,-,-,-,-,-,-,-,-
365,Corduba,MBA,2.72,3.62,133,E,104.7,2.4,2,1.64e+18,2.17e+18,133,-,X,C,Caa,Ch,-,Ch,9.76,1.73,18,X
