          JUICE   C2024 08 14.96118 22 33 10.97 -10 14 01.2          17.1 RZ     C23
          JUICE   C2024 08 14.96492 22 33 10.07 -10 14 05.9          16.7 RZ     C23
          JUICE   C2024 08 14.96867 22 33 09.04 -10 14 09.7          16.7 RZ     C23
          JUICE   C2024 08 14.97242 22 33 08.21 -10 14 13.6          16.8 RZ     C23
          JUICE   C2024 08 15.31104 22 32 43.41 -10 18 26.6          17.4        718
          JUICE   C2024 08 15.31248 22 32 42.91 -10 18 28.4          17.4        718
          JUICE   C2024 08 15.31391 22 32 42.46 -10 18 30.1          17.4        718
          JUICE   C2024 08 15.31534 22 32 41.95 -10 18 31.6          17.3        718
          JUICE   C2024 08 15.31677 22 32 41.47 -10 18 33.5          17.3        718
          JUICE  KC2024 08 15.91351 22 32 06.41 -10 31 09.0          17.6 RZ     C23
          JUICE  KC2024 08 15.91650 22 32 05.55 -10 31 13.3          17.3 RZ     C23
          JUICE  KC2024 08 15.91950 22 32 04.70 -10 31 19.1          17.0 RZ     C23
          JUICE  KC2024 08 15.92249 22 32 03.85 -10 31 24.2          17.0 RZ     C23
          JUICE  KC2024 08 15.92549 22 32 02.97 -10 31 28.9          17.1 RZ     C23
          JUICE  KC2024 08 15.95523 22 31 30.41 -10 31 33.0          17.3 GV     C40
          JUICE  KC2024 08 15.96298 22 31 27.51 -10 31 42.2          17.3 GV     C40
          JUICE  KC2024 08 15.97073 22 31 24.64 -10 31 50.7          17.4 GV     C40
          JUICE   C2024 08 16.30920 22 31 13.52 -10 38 58.4          16.7        718
          JUICE   C2024 08 16.31075 22 31 12.85 -10 39 00.3          16.7        718
          JUICE   C2024 08 16.31218 22 31 12.26 -10 39 03.4          16.9        718
          JUICE   C2024 08 16.31361 22 31 11.65 -10 39 05.7          16.8        718
          JUICE   C2024 08 16.31504 22 31 11.04 -10 39 07.8          16.9        718
          JUICE  KBK240817:0306227  22 29 24.481-10 44 44.68         17.0 VZ     Y05
          JUICE  KBK240817:0310286  22 29 22.708-10 44 50.54         17.0 VZ     Y05
          JUICE  KBK240817:0314277  22 29 20.969-10 44 56.16         16.8 VZ     Y05
          JUICE   C2024 08 17.30947 22 28 56.64 -11 09 43.5          16.6        718
          JUICE   C2024 08 17.31091 22 28 55.81 -11 09 47.0          16.5        718
          JUICE   C2024 08 17.31377 22 28 54.19 -11 09 54.4          16.5        718
          JUICE   C2024 08 17.31520 22 28 53.40 -11 09 58.0          16.5        718
