00001  2013-12-29T23:01:06.500  363.9591030092  441630133.683864     14250.967065  2013-12-29T22:38:03.942  7166437036.994461  -99999.999999  8420867321.549000  8420867321.503185  -9.999999         0.045815  -999.9  -999999999.999999  -99999.999999  -999.9  -999.9  
00002  2013-12-29T23:01:07.500  363.9591145833  441630134.683864     14251.249773  2013-12-29T22:38:04.942  7166437036.994461  -99999.999999  8420867246.634600  8420867246.580340  -0.000901         0.054259  -999.9           0.006028  -99999.999999  -999.9  -999.9  
00003  2013-12-29T23:01:08.500  363.9591261574  441630135.683864     14251.531890  2013-12-29T22:38:05.942  7166437036.994461  -99999.999999  8420867171.760300  8420867171.706127  -0.000902         0.054173  -999.9           0.003591  -99999.999999  -999.9  -999.9  
00004  2013-12-29T23:01:09.500  363.9591377314  441630136.683864     14251.813415  2013-12-29T22:38:06.942  7166437036.994461  -99999.999999  8420867096.931499  8420867096.879619  -0.000903         0.051881  -999.9           0.000246  -99999.999999  -999.9  -999.9  
00005  2013-12-29T23:01:10.500  363.9591493055  441630137.683864     14252.094350  2013-12-29T22:38:07.942  7166437036.994461  -99999.999999  8420867022.151300  8420867022.100789  -0.000904         0.050511   -66.8          -0.001854  -99999.999999  -999.9  -999.9  
00006  2013-12-29T23:01:11.500  363.9591608796  441630138.683864     14252.374696  2013-12-29T22:38:08.942  7166437036.994461  -99999.999999  8420866947.421700  8420866947.369610  -0.000904         0.052090   -66.7           0.013145  -99999.999999  -999.9  -999.9  
00007  2013-12-29T23:01:12.500  363.9591724537  441630139.683864     14252.654452  2013-12-29T22:38:09.942  7166437036.994461  -99999.999999  8420866872.733500  8420866872.686055  -0.000905         0.047444   -66.7           0.000555  -99999.999999  -999.9  -999.9  
00008  2013-12-29T23:01:13.500  363.9591840277  441630140.683864     14252.933620  2013-12-29T22:38:10.942  7166437036.994461  -99999.999999  8420866798.103200  8420866798.050100  -0.000906         0.053100   -66.7          -0.004127  -99999.999999  -999.9  -999.9  
00009  2013-12-29T23:01:14.500  363.9591956018  441630141.683864     14253.212200  2013-12-29T22:38:11.943  7166437036.994461  -99999.999999  8420866723.504100  8420866723.461718  -0.000907         0.042382   -66.7           0.010182  -99999.999999  -999.9  -999.9  
00010  2013-12-29T23:01:15.500  363.9592071759  441630142.683864     14253.490193  2013-12-29T22:38:12.943  7166437036.994461  -99999.999999  8420866648.969400  8420866648.920882  -0.000907         0.048518   -66.6           0.000527  -99999.999999  -999.9  -999.9  
00011  2013-12-29T23:01:16.500  363.9592187499  441630143.683864     14253.767600  2013-12-29T22:38:13.943  7166437036.994461  -99999.999999  8420866574.471800  8420866574.427564  -0.000908         0.044236   -66.6          -0.011945  -99999.999999  -999.9  -999.9  
00012  2013-12-29T23:01:17.500  363.9592303240  441630144.683864     14254.044421  2013-12-29T22:38:14.943  7166437036.994461  -99999.999999  8420866500.026700  8420866499.981738  -0.000909         0.044962   -66.6           0.005164  -99999.999999  -999.9  -999.9  
00013  2013-12-29T23:01:18.500  363.9592418981  441630145.683864     14254.320657  2013-12-29T22:38:15.943  7166437036.994461  -99999.999999  8420866425.633600  8420866425.583378  -0.000910         0.050222   -66.6           0.002491  -99999.999999  -999.9  -999.9  
00014  2013-12-29T23:01:19.500  363.9592534722  441630146.683864     14254.596309  2013-12-29T22:38:16.943  7166437036.994461  -99999.999999  8420866351.274000  8420866351.232457  -0.000910         0.041543   -66.6          -0.013918  -99999.999999  -999.9  -999.9  
00015  2013-12-29T23:01:20.500  363.9592650462  441630147.683864     14254.871377  2013-12-29T22:38:17.943  7166437036.994461  -99999.999999  8420866276.969100  8420866276.928950  -0.000911         0.040150   -66.6           0.008355  -99999.999999  -999.9  -999.9  
00016  2013-12-29T23:01:21.500  363.9592766203  441630148.683864     14255.145862  2013-12-29T22:38:18.943  7166437036.994461  -99999.999999  8420866202.716900  8420866202.672829  -0.000912         0.044071   -66.6          -0.007945  -99999.999999  -999.9  -999.9  
00017  2013-12-29T23:01:22.500  363.9592881944  441630149.683864     14255.419764  2013-12-29T22:38:19.944  7166437036.994461  -99999.999999  8420866128.503600  8420866128.464067  -0.000913         0.039534   -66.7           0.009946  -99999.999999  -999.9  -999.9  
00018  2013-12-29T23:01:23.500  363.9592997685  441630150.683864     14255.693085  2013-12-29T22:38:20.944  7166437036.994461  -99999.999999  8420866054.349200  8420866054.302637  -0.000913         0.046563   -66.7          -0.002827  -99999.999999  -999.9  -999.9  
